Index,Error_Value
39733,0.3384672
39737,0.3703892
39763,0.40976608
39774,0.36593828
39792,0.33663005
39798,0.34594786
39812,0.35397565
39816,0.35061657
39851,0.38610527
39876,0.32947743
39890,0.33164868
39908,0.3403167
39914,0.33244994
39952,0.32966727
39958,0.39636725
39969,0.32569078
39987,0.3336437
39993,0.32548705
40046,0.33159962
40078,0.36359474
40088,0.3867811
40105,0.31706965
40111,0.31256756
40155,0.39258888
40167,0.35456866
40350,0.39463395
40362,0.3219074
40400,0.3401433
40439,0.32933322
40478,0.33356008
40545,0.39879525
40557,0.31387234
40634,0.31259283
40673,0.3247649
40740,0.3840849
40935,0.4337158
41014,0.31355768
41036,0.31700277
41130,0.3861723
41325,0.40832967
41520,0.42616302
41715,0.40284595
41910,0.4005938
42010,0.3439156
42107,0.4154005
42207,0.31748563
42302,0.40024433
42402,0.31807175
42497,0.41031343
42588,0.31993127
42692,0.38866454
42706,0.34829023
42744,0.3545962
42783,0.3220408
42887,0.39721262
42939,0.3262727
42978,0.32086286
43377,0.32297173
43603,0.3340451
44549,0.3337607
44644,0.4130062
44744,0.33202556
44939,0.35427696
45134,0.3341335
45329,0.3382784
45524,0.33041432
45719,0.33267355
45914,0.32753477
46014,0.33211473
46065,0.32792222
46104,0.31856078
46111,0.3347458
46143,0.3229606
46181,0.31176525
46299,0.32049456
46306,0.33493316
46494,0.37623358
46501,0.32531616
46571,0.32364368
46612,0.3356221
46650,0.31270227
46689,0.36811325
46696,0.34411046
46766,0.3568794
46884,0.37343034
46891,0.33474293
46961,0.33495504
46990,0.31848058
47002,0.33244354
47040,0.3313514
47079,0.31027678
47086,0.3342127
47185,0.34628406
47281,0.32752666
47380,0.3294632
47476,0.33541587
47575,0.32408756
47587,0.33219817
47664,0.3118122
47671,0.32334894
47770,0.34056556
47859,0.31528458
47900,0.31436753
47938,0.3481048
47967,0.32987034
47979,0.3500058
48056,0.32438487
48062,0.31624296
48081,0.34440678
48095,0.31624806
48133,0.3376484
48162,0.32783806
48212,0.32003608
48259,0.3456509
48328,0.3222386
48357,0.36181828
48369,0.33806676
48446,0.3162805
48454,0.34053484
48485,0.3275492
48523,0.35042027
48554,0.32091835
48564,0.3187759
48660,0.31882823
48749,0.3152909
48942,0.3333921
49139,0.32213905
49334,0.3149984
49529,0.33976176
49724,0.32872468
49914,0.31192324
49955,0.3106202
50116,0.33802435
50150,0.31297323
50311,0.3341359
50506,0.37469444
53234,0.3803689
53429,0.38522518
53624,0.38356498
54016,0.39055958
54212,0.4267825
54602,0.43784115
54797,0.4118663
54992,0.4298291
55187,0.35732567
55385,0.3230609
55577,0.36263305
55676,0.3222706
55774,0.36251652
55969,0.36994874
56157,0.31587118
56164,0.36206767
56311,0.31209838
56359,0.37012652
56554,0.35829854
56944,0.38074943
57237,0.3505008
57528,0.3345628
57628,0.31593907
58076,0.33190766
58272,0.3136905
58312,0.3107944
58351,0.33321846
58429,0.3166769
59306,0.33541778
60300,0.31180337
60302,0.38590023
60320,0.31804344
60340,0.3892856
60380,0.42041004
60418,0.40392545
60458,0.45547473
60497,0.4271884
60535,0.38955867
60575,0.32428184
60653,0.31986544
60824,0.32625902
60925,0.3573513
60965,0.35853174
61003,0.3261564
61043,0.32502076
61099,0.32587174
61176,0.3645343
61432,0.3145466
61473,0.32156622
62289,0.32188967
62367,0.3424943
64091,0.32466984
64614,0.31410682
65148,0.40953687
65232,0.31950086
65388,0.33630288
65433,0.32925305
65435,0.32952732
65468,0.34290853
65540,0.4089522
65585,0.31498292
65663,0.37366277
65701,0.33887568
65735,0.40316686
65787,0.32778117
65819,0.31609344
65930,0.40872213
65975,0.33187968
66125,0.4088473
66139,0.33678502
66320,0.4077939
66713,0.33594772
67029,0.35199326
67091,0.34158304
67103,0.3117318
67168,0.31437346
67495,0.31646433
67546,0.32727242
67690,0.32196352
67785,0.31446847
67885,0.3245446
67937,0.3335311
68275,0.31955516
68370,0.32601082
68565,0.3109537
68760,0.32079983
69224,0.34713486
69249,0.31020522
69250,0.31456354
69288,0.3146626
69347,0.316424
69447,0.34431046
69601,0.3204272
69641,0.31633973
69642,0.31496376
69735,0.32341427
69812,0.35767376
69891,0.36884716
69969,0.3272169
70007,0.33016446
70032,0.32734907
70048,0.35972664
70086,0.36409342
70125,0.36033866
70202,0.38967353
70227,0.3365765
70303,0.31107065
70343,0.3112136
70422,0.3493786
70617,0.33516967
70712,0.3405332
70812,0.33991748
70907,0.3187664
71007,0.34815148
71102,0.31346136
71202,0.33312133
71299,0.32466862
71399,0.34609792
71494,0.32390463
71594,0.33972332
71689,0.3297548
71789,0.35450515
71826,0.35887983
71884,0.31525338
71942,0.33596754
71984,0.34805816
72021,0.32746455
72059,0.3543703
72079,0.3235718
72098,0.3936641
72137,0.39238986
72177,0.38268042
72179,0.32151192
72216,0.34585643
72254,0.35274494
72274,0.31670758
72294,0.36036938
72332,0.35375348
72333,0.31977668
72372,0.38496974
72373,0.32746363
72374,0.32591793
72411,0.35633296
72412,0.31256783
72449,0.34240797
72469,0.33408242
72489,0.34340897
72567,0.3480134
72569,0.32538012
72664,0.32538375
72722,0.38085583
72764,0.32484016
72801,0.31275246
72839,0.31863084
72859,0.3353921
72879,0.3126862
72917,0.316237
72959,0.3201159
72996,0.31392434
73034,0.32745662
73054,0.33903936
73112,0.3239192
73154,0.32633665
73191,0.31104192
73229,0.31074584
73251,0.33556184
73271,0.31501043
73309,0.32144335
73349,0.31242836
73351,0.33020237
73388,0.3107083
73426,0.32066673
73446,0.34182352
73504,0.3348316
73544,0.3116252
73546,0.32630345
73641,0.31917116
73661,0.3205897
73699,0.34492812
73739,0.3264675
73741,0.3234286
73778,0.31412545
73816,0.3293449
73936,0.32315308
74011,0.32343206
74130,0.33015865
74716,0.31698358
74910,0.31223404
75105,0.3489072
75302,0.32459086
75497,0.33010048
75692,0.32904264
75887,0.31169143
76472,0.3380134
76780,0.3200114
77255,0.40904817
77450,0.38913238
77619,0.33127695
77645,0.39840668
77814,0.34850216
80572,0.31378102
80736,0.31721255
80962,0.32783124
81518,0.32629612
81713,0.31734145
81938,0.31256324
82015,0.32271525
82055,0.3106136
83031,0.34087732
83109,0.35170913
83304,0.35747483
83459,0.334923
83538,0.33794993
83616,0.3701477
84470,0.32044038
84938,0.38666296
85813,0.36057243
86114,0.3147817
89566,0.33451164
89604,0.3501068
89682,0.35151264
89722,0.3530482
89761,0.34366897
90148,0.36043045
90151,0.41740036
90189,0.36295244
90267,0.32827055
90381,0.31618193
90420,0.3124564
90459,0.32730195
90607,0.3393499
90694,0.3495112
90733,0.31969687
90771,0.32413536
90825,0.32623604
90843,0.31254968
91086,0.34706128
91117,0.39505437
91194,0.3370531
91202,0.32791826
91428,0.3398778
91458,0.3336243
91506,0.32843617
91584,0.32853886
91653,0.32669586
91732,0.3328215
91754,0.320151
92378,0.31506985
92417,0.32343236
92877,0.311707
93040,0.32036477
93145,0.33245385
94337,0.31370118
94437,0.31415904
94632,0.3125598
95067,0.35599756
95314,0.311578
95609,0.31592923
95999,0.31451988
96289,0.3107894
96973,0.32090643
97012,0.32010567
97050,0.35764712
97090,0.352873
97128,0.34265554
97168,0.3300093
97207,0.32552165
97323,0.32867342
97363,0.32314146
97514,0.313329
97518,0.3254243
98341,0.3101847
98493,0.3116117
98608,0.32289243
98885,0.31575975
98929,0.3333018
99275,0.3201451
99319,0.34834528
99414,0.38486862
99514,0.33659238
99610,0.31736958
99709,0.34315762
100168,0.31089178
101660,0.3166378
101855,0.31698692
102050,0.3261101
102440,0.31088233
102732,0.32807183
102927,0.31331274
103122,0.31880987
103707,0.3451104
103902,0.31404018
104343,0.3467439
104540,0.3726721
104684,0.31163424
104735,0.36152276
104930,0.36375424
106891,0.3478185
106968,0.37172052
107006,0.34901384
107046,0.35850218
107086,0.34563556
107338,0.3326256
108161,0.31025457
108347,0.45695475
108787,0.31112388
109372,0.31510162
110331,0.31796706
110349,0.31140506
110371,0.31839246
110471,0.33505565
110623,0.31789324
110676,0.3302443
110744,0.31223777
110754,0.32612956
110795,0.31070423
110949,0.3135756
110989,0.3164477
111144,0.31391528
111268,0.32769477
111285,0.32276282
111299,0.31531194
111306,0.32163998
111536,0.32481515
111559,0.32327735
111871,0.33234358
111910,0.33404872
112000,0.3163087
112184,0.3363351
112195,0.35120118
112223,0.3270143
112314,0.3164382
112354,0.32660997
112431,0.33170977
112497,0.3345503
112536,0.32753354
112810,0.324267
112848,0.3330568
113161,0.3339473
114087,0.32454652
114550,0.31782794
114551,0.3271272
114746,0.31933686
114948,0.31223977
115178,0.35308373
115220,0.35165018
115335,0.32643226
115412,0.34917498
115568,0.31441534
115646,0.3685317
115686,0.3583264
115725,0.33629262
115763,0.33562836
115841,0.3131626
115865,0.32719913
115942,0.33096334
115980,0.31619385
115997,0.3404095
116076,0.36879674
116155,0.33098796
116507,0.33922338
116669,0.34225976
116709,0.31182033
116842,0.33746368
116864,0.34811565
117176,0.32267988
117565,0.32688686
117949,0.3669448
118214,0.35943374
119304,0.3460388
119600,0.31411716
120361,0.3300089
121998,0.3116245
122300,0.33617482
122491,0.32246724
122845,0.332448
122945,0.34044376
123040,0.33597326
123140,0.34663966
123235,0.31736618
123489,0.31097034
123545,0.3346577
123583,0.34346053
123622,0.3441623
123701,0.32352903
123778,0.35493436
123817,0.37100217
123858,0.35813877
125482,0.31035796
125970,0.32927096
126165,0.33648512
128417,0.32944325
128504,0.35288453
128526,0.3584184
128583,0.37671527
128604,0.38033715
128622,0.36444438
128643,0.39738217
129197,0.3237127
129488,0.31668407
129587,0.34073818
131072,0.3272763
131267,0.31026226
131462,0.3393572
